,id,xpos,ypos,zrotation,timestamp,confidence,track_id,track_confidence,bee_id,video
35,f12078749486545202671d0c0,514.795259475708,177.48357772827148,2.3302824,6.3,0.5784799,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
36,f16480789241153851854d0c0,514.275468826294,177.57759857177734,2.1988633,6.4,0.4580934,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
37,f9561703517487977201d0c0,514.3785037994385,164.60812377929688,2.5160432,6.5,0.093438186,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
38,f9799364134214875289d0c0,513.688289642334,201.92895698547363,2.380841,6.6,0.972815,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
39,f10824351253424054221d0c0,476.077112197876,188.54357719421387,3.0675733,14.6,0.5172068,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
40,f12265085190443735275d0c0,488.1040554046631,150.78701210021973,3.122312,14.7,0.65587085,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
41,f17957471594618849836d0c0,487.449893951416,112.97637557983398,-3.034312,14.8,0.9981959,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
42,f17106756921493069941d2c0,461.83655738830566,98.55614280700684,2.9873414,15.2,0.8128872,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
43,f11555117302929744833d0c0,462.59783363342285,99.78984069824219,3.0516305,15.3,0.9944855,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
44,f15140268671930433019d0c0,462.25238609313965,99.14095211029053,3.064708,15.4,0.94859767,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
45,f14809971537130345075d1c0,462.6606559753418,99.29042530059814,2.8895984,15.5,0.7079908,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
46,f12642639370773970793d0c0,462.9843273162842,125.44964599609375,3.039253,15.6,0.9868214,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
47,f15633336810559482632d0c0,462.88825607299805,137.9850730895996,3.0100722,15.7,0.998579,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
48,f14366529565591997975d0c0,475.5141124725342,125.32927513122559,3.0306256,15.8,0.99554664,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
49,f9374524054849816320d0c0,475.1977653503418,124.99741744995117,2.9221168,15.9,0.9783834,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
50,f10474811486418236746d0c0,462.93115997314453,125.70354843139648,3.0923405,16.0,0.97977376,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
51,f17417059594857994798d0c0,462.9469451904297,137.8813648223877,3.1211257,16.1,0.9325453,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
52,f11852631696612907863d0c0,462.8173713684082,112.99019813537598,3.0394757,16.2,0.8807325,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
53,f16020668896742320056d0c0,462.91185188293457,138.16162300109863,3.0924218,16.3,0.9877841,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
54,f18432159901139492753d0c0,476.1723175048828,126.40494918823242,3.0831766,16.4,0.13071595,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
55,f15288537230681423191d0c0,475.6737632751465,126.31579399108887,2.993,16.5,0.9754665,0.0,0.7517061495872931,1301.0,2018-08-19-17-00-51
